method,university,program_name,degree_level,role_groups,gap_concept
tfidf,American University of Armenia,Engineering Sciences,Bachelor,Hardware / Embedded + Software Engineering,http://data.europa.eu/esco/skill/ce26e71f-2d47-474e-89b6-7920931ac4fc
tfidf,American University of Armenia,Engineering Sciences,Bachelor,Hardware / Embedded + Software Engineering,http://data.europa.eu/esco/skill/52e53619-fa77-4f72-b237-5e4aae784dc2
tfidf,American University of Armenia,Engineering Sciences,Bachelor,Hardware / Embedded + Software Engineering,http://data.europa.eu/esco/skill/f049d050-12da-4e40-813a-2b5eb6df6b51
tfidf,American University of Armenia,Engineering Sciences,Bachelor,Hardware / Embedded + Software Engineering,http://data.europa.eu/esco/skill/2b1ce548-4e16-45fb-bfb2-f3141c8efe8d
tfidf,American University of Armenia,Engineering Sciences,Bachelor,Hardware / Embedded + Software Engineering,http://data.europa.eu/esco/skill/af7ae54f-4649-4c16-87c7-59ba41d4d57f
tfidf,American University of Armenia,Engineering Sciences,Bachelor,Hardware / Embedded + Software Engineering,http://data.europa.eu/esco/skill/3bddfd7c-ab6d-40c2-883d-5e97fb7640ba
tfidf,American University of Armenia,Engineering Sciences,Bachelor,Hardware / Embedded + Software Engineering,http://data.europa.eu/esco/skill/3abfda93-0f26-46ac-bf92-d5917047e90b
tfidf,American University of Armenia,Engineering Sciences,Bachelor,Hardware / Embedded + Software Engineering,http://data.europa.eu/esco/skill/ab6265f2-a9bf-49e8-a9a5-67cbab4de38b
tfidf,American University of Armenia,Engineering Sciences,Bachelor,Hardware / Embedded + Software Engineering,http://data.europa.eu/esco/skill/41ec47dd-08b3-464a-9c45-c706f3e74467
tfidf,American University of Armenia,Engineering Sciences,Bachelor,Hardware / Embedded + Software Engineering,http://data.europa.eu/esco/skill/6ad40ca3-dc34-4442-b23f-0b1b28936f56
tfidf,American University of Armenia,Engineering Sciences,Bachelor,Hardware / Embedded + Software Engineering,http://data.europa.eu/esco/skill/6f6163dc-a801-416c-86e9-ce857d71c24d
tfidf,American University of Armenia,Engineering Sciences,Bachelor,Hardware / Embedded + Software Engineering,http://data.europa.eu/esco/skill/83fc0b2b-6cd2-46af-b1ff-d3fc83604c26
tfidf,American University of Armenia,Engineering Sciences,Bachelor,Hardware / Embedded + Software Engineering,http://data.europa.eu/esco/skill/0af93aed-bb3e-4ce7-ad77-a41139c7e7c5
tfidf,American University of Armenia,Engineering Sciences,Bachelor,Hardware / Embedded + Software Engineering,http://data.europa.eu/esco/skill/e843973c-23dd-416a-8a9c-9e89512542fb
tfidf,American University of Armenia,Engineering Sciences,Bachelor,Hardware / Embedded + Software Engineering,http://data.europa.eu/esco/skill/bdcac0c8-b77a-4640-9eaf-c0cf3efd1e23
tfidf,American University of Armenia,Engineering Sciences,Bachelor,Hardware / Embedded + Software Engineering,http://data.europa.eu/esco/skill/117373c8-f04b-4fff-8683-aebe36edac81
tfidf,American University of Armenia,Engineering Sciences,Bachelor,Hardware / Embedded + Software Engineering,http://data.europa.eu/esco/skill/8088750d-8388-4170-a76f-48354c469c44
tfidf,American University of Armenia,Engineering Sciences,Bachelor,Hardware / Embedded + Software Engineering,http://data.europa.eu/esco/skill/616cd160-2f18-47f4-a814-a93179ce0c84
tfidf,American University of Armenia,Engineering Sciences,Bachelor,Hardware / Embedded + Software Engineering,http://data.europa.eu/esco/skill/bac209e9-d337-4312-9041-17c2e75fa4df
tfidf,American University of Armenia,Engineering Sciences,Bachelor,Hardware / Embedded + Software Engineering,http://data.europa.eu/esco/skill/21dfab2e-f954-49ab-8fb6-18cc98cf10bb
tfidf,American University of Armenia,Engineering Sciences,Bachelor,Hardware / Embedded + Software Engineering,http://data.europa.eu/esco/skill/f4a6e9f7-5cff-46c0-894c-59c20bb78694
tfidf,American University of Armenia,Engineering Sciences,Bachelor,Hardware / Embedded + Software Engineering,http://data.europa.eu/esco/skill/79c48123-b0d4-4d01-b511-0ce999f3161c
tfidf,American University of Armenia,Engineering Sciences,Bachelor,Hardware / Embedded + Software Engineering,http://data.europa.eu/esco/skill/2b7a79e5-84d8-4880-be66-3d9bb05bea17
tfidf,American University of Armenia,Engineering Sciences,Bachelor,Hardware / Embedded + Software Engineering,http://data.europa.eu/esco/skill/99c4c69a-025c-464f-adda-874c7f107a31
tfidf,American University of Armenia,Engineering Sciences,Bachelor,Hardware / Embedded + Software Engineering,http://data.europa.eu/esco/skill/44985078-6f4c-42b2-bceb-a37ea224b21d
tfidf,American University of Armenia,Engineering Sciences,Bachelor,Hardware / Embedded + Software Engineering,http://data.europa.eu/esco/skill/87543f4e-9f38-4cf3-bcbf-066f3b76423e
tfidf,American University of Armenia,Engineering Sciences,Bachelor,Hardware / Embedded + Software Engineering,http://data.europa.eu/esco/skill/2abb7341-11a9-4799-9aef-7f2a83de0358
tfidf,American University of Armenia,Engineering Sciences,Bachelor,Hardware / Embedded + Software Engineering,http://data.europa.eu/esco/skill/47a49cd6-097d-457a-9f7b-c290c14930d5
tfidf,American University of Armenia,Engineering Sciences,Bachelor,Hardware / Embedded + Software Engineering,http://data.europa.eu/esco/skill/3cd569a2-4f88-4c1e-9995-8dce8c5e51a7
tfidf,American University of Armenia,Engineering Sciences,Bachelor,Hardware / Embedded + Software Engineering,http://data.europa.eu/esco/skill/ffddfc7c-a9dd-449f-9e96-882dc447c8b6
tfidf,American University of Armenia,Engineering Sciences,Bachelor,Hardware / Embedded + Software Engineering,http://data.europa.eu/esco/skill/97bd1c21-66b2-4b7e-ad0f-e3cda590e378
tfidf,American University of Armenia,Engineering Sciences,Bachelor,Hardware / Embedded + Software Engineering,http://data.europa.eu/esco/skill/71f81e1a-e2ca-48d6-b7b8-7a34c56c51f8
tfidf,American University of Armenia,Engineering Sciences,Bachelor,Hardware / Embedded + Software Engineering,http://data.europa.eu/esco/skill/ec410a76-f890-4012-8863-b82f2c75527c
tfidf,American University of Armenia,Engineering Sciences,Bachelor,Hardware / Embedded + Software Engineering,http://data.europa.eu/esco/skill/d62d2b4c-a6f8-439e-8a1b-4f29ab5f2c47
tfidf,American University of Armenia,Engineering Sciences,Bachelor,Hardware / Embedded + Software Engineering,http://data.europa.eu/esco/skill/a8d07b5a-c1a1-42c6-9d53-db9c7a2ca996
tfidf,American University of Armenia,Engineering Sciences,Bachelor,Hardware / Embedded + Software Engineering,http://data.europa.eu/esco/skill/3c209873-c757-47bb-91b5-9b6dc05df116
tfidf,American University of Armenia,Engineering Sciences,Bachelor,Hardware / Embedded + Software Engineering,http://data.europa.eu/esco/skill/19a8293b-8e95-4de3-983f-77484079c389
tfidf,American University of Armenia,Engineering Sciences,Bachelor,Hardware / Embedded + Software Engineering,http://data.europa.eu/esco/skill/450de541-797a-4da0-9fe4-a81471c8047d
tfidf,American University of Armenia,Engineering Sciences,Bachelor,Hardware / Embedded + Software Engineering,http://data.europa.eu/esco/skill/78c4dcf0-f69c-4f1d-b61c-4c271bd8c632
tfidf,American University of Armenia,Engineering Sciences,Bachelor,Hardware / Embedded + Software Engineering,http://data.europa.eu/esco/skill/d329b1ed-6e7a-400e-bca2-7c1936fbfbcb
tfidf,American University of Armenia,Engineering Sciences,Bachelor,Hardware / Embedded + Software Engineering,http://data.europa.eu/esco/skill/66d47084-9437-48b2-819b-c4c8214ed650
tfidf,American University of Armenia,Engineering Sciences,Bachelor,Hardware / Embedded + Software Engineering,http://data.europa.eu/esco/skill/334e3e49-fb02-4051-809a-f06adfdc1c40
tfidf,American University of Armenia,Engineering Sciences,Bachelor,Hardware / Embedded + Software Engineering,http://data.europa.eu/esco/skill/e0ab7e9a-4f38-4077-bf5f-a65ec483d5ce
tfidf,American University of Armenia,Engineering Sciences,Bachelor,Hardware / Embedded + Software Engineering,http://data.europa.eu/esco/skill/be80acfc-b6f2-4411-9b8d-b19d9cd2556a
tfidf,American University of Armenia,Engineering Sciences,Bachelor,Hardware / Embedded + Software Engineering,http://data.europa.eu/esco/skill/95c35c3a-035f-47c2-90cf-7e934d20fc08
tfidf,American University of Armenia,Engineering Sciences,Bachelor,Hardware / Embedded + Software Engineering,http://data.europa.eu/esco/skill/ad05c2bf-3905-4e4c-bd56-6fcfdebc994c
tfidf,American University of Armenia,Engineering Sciences,Bachelor,Hardware / Embedded + Software Engineering,http://data.europa.eu/esco/skill/f84a433f-34f1-4083-b0a3-24802623509c
tfidf,American University of Armenia,Engineering Sciences,Bachelor,Hardware / Embedded + Software Engineering,http://data.europa.eu/esco/skill/d97c894e-d330-4bd3-b8ba-138fc11855ee
tfidf,American University of Armenia,Engineering Sciences,Bachelor,Hardware / Embedded + Software Engineering,http://data.europa.eu/esco/skill/7b1ab171-caed-4561-89e4-b214396b1ae8
tfidf,American University of Armenia,Engineering Sciences,Bachelor,Hardware / Embedded + Software Engineering,http://data.europa.eu/esco/skill/397da142-ab35-48fe-b154-7c38f447adfb
tfidf,American University of Armenia,Engineering Sciences,Bachelor,Hardware / Embedded + Software Engineering,http://data.europa.eu/esco/skill/6c08403c-a5bb-4868-b8c2-b7d039c0e511
