source_url,degree_type,speciality,program_name,academic_year,component,chair_code,course_name_original,credits
https://www.ysu.am/en/faculty/85/educational-program-305/edu-plan,Bachelor,061101.02.6 - Ինֆորմատիկա (Համակարգչային գիտություն),Informatics and Applied Mathematics,2025/2026,Professional educational component,0309,ԷՀՄ ճարտարապետություն և ասեմբլեր լեզու,6
https://www.ysu.am/en/faculty/85/educational-program-305/edu-plan,Bachelor,061101.02.6 - Ինֆորմատիկա (Համակարգչային գիտություն),Informatics and Applied Mathematics,2025/2026,Professional educational component,0307,Գործողությունների հետազոտման լրացուցիչ գլուխներ,6
https://www.ysu.am/en/faculty/85/educational-program-305/edu-plan,Bachelor,061101.02.6 - Ինֆորմատիկա (Համակարգչային գիտություն),Informatics and Applied Mathematics,2025/2026,Professional educational component,0307,Մաթեմատիկական կիբեռնետիկայի տարրեր,6
https://www.ysu.am/en/faculty/85/educational-program-305/edu-plan,Bachelor,061101.02.6 - Ինֆորմատիկա (Համակարգչային գիտություն),Informatics and Applied Mathematics,2025/2026,Professional educational component,0000,Մասնագիտական պրակտիկա,3
https://www.ysu.am/en/faculty/85/educational-program-305/edu-plan,Bachelor,061101.02.6 - Ինֆորմատիկա (Համակարգչային գիտություն),Informatics and Applied Mathematics,2025/2026,Professional educational component,0308,Թվային անալիզ,6
https://www.ysu.am/en/faculty/85/educational-program-305/edu-plan,Bachelor,061101.02.6 - Ինֆորմատիկա (Համակարգչային գիտություն),Informatics and Applied Mathematics,2025/2026,Professional educational component,0308,Մաթեմատիկական մեթոդներ բնագիտության մեջ,4
https://www.ysu.am/en/faculty/85/educational-program-306/edu-plan,Master,061101.04.7 - Ինֆորմատիկա (Համակարգչային գիտություն),Discrete Mathematics and Theoretical Informatics,2025/2026,General educational component,1602,Անգլերեն-1,3
https://www.ysu.am/en/faculty/85/educational-program-306/edu-plan,Master,061101.04.7 - Ինֆորմատիկա (Համակարգչային գիտություն),Discrete Mathematics and Theoretical Informatics,2025/2026,General educational component,1702,Ռուսերեն -1,3
https://www.ysu.am/en/faculty/85/educational-program-306/edu-plan,Master,061101.04.7 - Ինֆորմատիկա (Համակարգչային գիտություն),Discrete Mathematics and Theoretical Informatics,2025/2026,General educational component,1604,Գերմաներեն -1,3
https://www.ysu.am/en/faculty/85/educational-program-306/edu-plan,Master,061101.04.7 - Ինֆորմատիկա (Համակարգչային գիտություն),Discrete Mathematics and Theoretical Informatics,2025/2026,General educational component,1608,Ֆրանսերեն -1,3
https://www.ysu.am/en/faculty/85/educational-program-306/edu-plan,Master,061101.04.7 - Ինֆորմատիկա (Համակարգչային գիտություն),Discrete Mathematics and Theoretical Informatics,2025/2026,General educational component,1602,Անգլերեն -2,3
